# cid2code.txt (Version 08/28/2009)
#
# The data in this table contains 14 tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5079 "Adobe-GB1-5 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 30283 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 14, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "GB-H" and "GB-V" CMaps (GB
#   2312-80 character set, ISO-2022-CN encoding).
#
# o Column 3: Character codes for the "GB-EUC-H" and "GB-EUC-V" CMaps
#   (GB 2312-80 character set, EUC-CN encoding, half-width Latin
#   characters).
#
# o Column 4: Character codes for the "GBpc-EUC-H" and "GBpc-EUC-V"
#   CMaps (MacOS-S character set, EUC-CN encoding, proportional Latin
#   characters).
#
# o Column 5: Character codes for the "GBT-H" and "GBT-V" CMaps (GB/T
#   12345-90 character set, ISO-2022-CN encoding).
#
# o Column 6: Character codes for the "GBT-EUC-H" and "GBT-EUC-V"
#   CMaps (GB/T 12345-90 character set, EUC-CN encoding, half-width
#   Latin characters).
#
# o Column 7: Character codes for the "GBTpc-EUC-H" and "GBTpc-EUC-V"
#   CMaps (GB/T 12345-90 character set for MacOS-S, EUC-CN encoding,
#   proportional Latin characters).
#
# o Column 8: Character codes for the "GBK-EUC-H" and "GBK-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "GBKp-EUC-H" and "GBKp-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, proportional Latin characters).
#
# o Column 10: Character codes for the "GBK2K-H" and "GBK2K-V"
#   CMaps (GB 18030-2000 character set, the mixed one-, two-, and
#   four-byte encoding defined in GB 18030-2000, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniGB-UCS2-H" and "UniGB-UCS2-V"
#   CMaps (Unicode UCS-2/UTF-16 encoding, proportional Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 12: Character codes for the "UniGB-UTF8-H" and "UniGB-UTF8-V"
#   CMaps (Unicode 4.1 UTF-8 encoding, proportional Latin characters).
#
# o Column 13: Character codes for the "UniGB-UTF16-H" and
#   "UniGB-UTF16-V" CMaps (Unicode 4.1 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 14: Character codes for the "UniGB-UTF32-H" and
#   "UniGB-UTF32-V" CMaps (Unicode 4.1 UTF-32 encoding, proportional
#   Latin characters).
#
CID	GB	GB-EUC	GBpc-EUC	GBT	GBT-EUC	GBTpc-EUC	GBK-EUC	GBKp-EUC	GBK2K	UniGB-UCS2	UniGB-UTF8	UniGB-UTF16	UniGB-UTF32
2872	4455	c4d5	c4d5	*	*	*	c4d5	c4d5	c4d5	607c	e681bc	607c	0000607c
2873	4456	c4d6	c4d6	*	*	*	c4d6	c4d6	c4d6	95f9	e997b9	95f9	000095f9
2874	4457	c4d7	c4d7	4457	c4d7	c4d7	c4d7	c4d7	c4d7	6dd6	e6b796	6dd6	00006dd6
2875	4458	c4d8	c4d8	4458	c4d8	c4d8	c4d8	c4d8	c4d8	5462	e591a2	5462	00005462
2876	4459	c4d9	c4d9	*	*	*	c4d9	c4d9	c4d9	9981	e9a681	9981	00009981
2877	445a	c4da	c4da	445a	c4da	c4da	c4da	c4da	c4da	5185	e58685	5185	00005185
2878	445b	c4db	c4db	445b	c4db	c4db	c4db	c4db	c4db	5ae9	e5aba9	5ae9	00005ae9
2879	445c	c4dc	c4dc	445c	c4dc	c4dc	c4dc	c4dc	c4dc	80fd	e883bd	80fd	000080fd
2880	445d	c4dd	c4dd	445d	c4dd	c4dd	c4dd	c4dd	c4dd	59ae	e5a6ae	59ae	000059ae
2881	445e	c4de	c4de	445e	c4de	c4de	c4de	c4de	c4de	9713	e99c93	9713	00009713
2882	445f	c4df	c4df	445f	c4df	c4df	c4df	c4df	c4df	502a	e580aa	502a	0000502a
2883	4460	c4e0	c4e0	4460	c4e0	c4e0	c4e0	c4e0	c4e0	6ce5	e6b3a5	6ce5	00006ce5
2884	4461	c4e1	c4e1	4461	c4e1	c4e1	c4e1	c4e1	c4e1	5c3c	e5b0bc	5c3c	00005c3c
2885	4462	c4e2	c4e2	*	*	*	c4e2	c4e2	c4e2	62df	e68b9f	62df	000062df
2886	4463	c4e3	c4e3	4463	c4e3	c4e3	c4e3	c4e3	c4e3	4f60	e4bda0	4f60	00004f60
2887	4464	c4e4	c4e4	4464	c4e4	c4e4	c4e4	c4e4	c4e4	533f	e58cbf	533f	0000533f
2888	4465	c4e5	c4e5	*	*	*	c4e5	c4e5	c4e5	817b	e885bb	817b	0000817b
2889	4466	c4e6	c4e6	4466	c4e6	c4e6	c4e6	c4e6	c4e6	9006	e98086	9006	00009006
2890	4467	c4e7	c4e7	4467	c4e7	c4e7	c4e7	c4e7	c4e7	6eba	e6baba	6eba	00006eba
2891	4468	c4e8	c4e8	4468	c4e8	c4e8	c4e8	c4e8	c4e8	852b	e894ab	852b	0000852b
2892	4469	c4e9	c4e9	4469	c4e9	c4e9	c4e9	c4e9	c4e9	62c8	e68b88	62c8	000062c8
2893	446a	c4ea	c4ea	446a	c4ea	c4ea	c4ea	c4ea	c4ea	5e74	e5b9b4	5e74	00005e74
2894	446b	c4eb	c4eb	446b	c4eb	c4eb	c4eb	c4eb	c4eb	78be	e7a2be	78be	000078be
2895	446c	c4ec	c4ec	*	*	*	c4ec	c4ec	c4ec	64b5	e692b5	64b5	000064b5
2896	446d	c4ed	c4ed	446d	c4ed	c4ed	c4ed	c4ed	c4ed	637b	e68dbb	637b	0000637b
2897	446e	c4ee	c4ee	446e	c4ee	c4ee	c4ee	c4ee	c4ee	5ff5	e5bfb5	5ff5	00005ff5
2898	446f	c4ef	c4ef	446f	c4ef	c4ef	c4ef	c4ef	c4ef	5a18	e5a898	5a18	00005a18
2899	4470	c4f0	c4f0	*	*	*	c4f0	c4f0	c4f0	917f	e985bf	917f	0000917f
2900	4471	c4f1	c4f1	*	*	*	c4f1	c4f1	c4f1	9e1f	e9b89f	9e1f	00009e1f
2901	4472	c4f2	c4f2	4472	c4f2	c4f2	c4f2	c4f2	c4f2	5c3f	e5b0bf	5c3f	00005c3f
2902	4473	c4f3	c4f3	4473	c4f3	c4f3	c4f3	c4f3	c4f3	634f	e68d8f	634f	0000634f
2903	4474	c4f4	c4f4	*	*	*	c4f4	c4f4	c4f4	8042	e88182	8042	00008042
2904	4475	c4f5	c4f5	4475	c4f5	c4f5	c4f5	c4f5	c4f5	5b7d	e5adbd	5b7d	00005b7d
2905	4476	c4f6	c4f6	*	*	*	c4f6	c4f6	c4f6	556e	e595ae	556e	0000556e
2906	4477	c4f7	c4f7	*	*	*	c4f7	c4f7	c4f7	954a	e9958a	954a	0000954a
2907	4478	c4f8	c4f8	*	*	*	c4f8	c4f8	c4f8	954d	e9958d	954d	0000954d
2908	4479	c4f9	c4f9	4479	c4f9	c4f9	c4f9	c4f9	c4f9	6d85	e6b685	6d85	00006d85
2909	447a	c4fa	c4fa	447a	c4fa	c4fa	c4fa	c4fa	c4fa	60a8	e682a8	60a8	000060a8
2910	447b	c4fb	c4fb	*	*	*	c4fb	c4fb	c4fb	67e0	e69fa0	67e0	000067e0
2911	447c	c4fc	c4fc	*	*	*	c4fc	c4fc	c4fc	72de	e78b9e	72de	000072de
2912	447d	c4fd	c4fd	447d	c4fd	c4fd	c4fd	c4fd	c4fd	51dd	e5879d	51dd	000051dd
2913	447e	c4fe	c4fe	*	*	*	c4fe	c4fe	c4fe	5b81	e5ae81	5b81	00005b81
2914	4521	c5a1	c5a1	*	*	*	c5a1	c5a1	c5a1	62e7	e68ba7	62e7	000062e7
2915	4522	c5a2	c5a2	*	*	*	c5a2	c5a2	c5a2	6cde	e6b39e	6cde	00006cde
2916	4523	c5a3	c5a3	4523	c5a3	c5a3	c5a3	c5a3	81399434,c5a3	2f5c,725b	e2bd9c,e7899b	2f5c,725b	00002f5c,0000725b
2917	4524	c5a4	c5a4	4524	c5a4	c5a4	c5a4	c5a4	c5a4	626d	e689ad	626d	0000626d
2918	4525	c5a5	c5a5	*	*	*	c5a5	c5a5	c5a5	94ae	e992ae	94ae	000094ae
2919	4526	c5a6	c5a6	*	*	*	c5a6	c5a6	c5a6	7ebd	e7babd	7ebd	00007ebd
2920	4527	c5a7	c5a7	*	*	*	c5a7	c5a7	c5a7	8113	e88493	8113	00008113
2921	4528	c5a8	c5a8	*	*	*	c5a8	c5a8	c5a8	6d53	e6b593	6d53	00006d53
2922	4529	c5a9	c5a9	*	*	*	c5a9	c5a9	c5a9	519c	e5869c	519c	0000519c
2923	452a	c5aa	c5aa	452a	c5aa	c5aa	c5aa	c5aa	c5aa	5f04	e5bc84	5f04	00005f04
2924	452b	c5ab	c5ab	452b	c5ab	c5ab	c5ab	c5ab	c5ab	5974	e5a5b4	5974	00005974
2925	452c	c5ac	c5ac	452c	c5ac	c5ac	c5ac	c5ac	c5ac	52aa	e58aaa	52aa	000052aa
2926	452d	c5ad	c5ad	452d	c5ad	c5ad	c5ad	c5ad	c5ad	6012	e68092	6012	00006012
2927	452e	c5ae	c5ae	452e	c5ae	c5ae	c5ae	c5ae	81398e39,c5ae	2f25,5973	e2bca5,e5a5b3	2f25,5973	00002f25,00005973
2928	452f	c5af	c5af	452f	c5af	c5af	c5af	c5af	c5af	6696	e69a96	6696	00006696
2929	4530	c5b0	c5b0	4530	c5b0	c5b0	c5b0	c5b0	c5b0	8650	e89990	8650	00008650
2930	4531	c5b1	c5b1	*	*	*	c5b1	c5b1	c5b1	759f	e7969f	759f	0000759f
2931	4532	c5b2	c5b2	4532	c5b2	c5b2	c5b2	c5b2	c5b2	632a	e68caa	632a	0000632a
2932	4533	c5b3	c5b3	4533	c5b3	c5b3	c5b3	c5b3	c5b3	61e6	e687a6	61e6	000061e6
2933	4534	c5b4	c5b4	4534	c5b4	c5b4	c5b4	c5b4	c5b4	7cef	e7b3af	7cef	00007cef
2934	4535	c5b5	c5b5	*	*	*	c5b5	c5b5	c5b5	8bfa	e8afba	8bfa	00008bfa
2935	4536	c5b6	c5b6	4536	c5b6	c5b6	c5b6	c5b6	c5b6	54e6	e593a6	54e6	000054e6
2936	4537	c5b7	c5b7	*	*	*	c5b7	c5b7	c5b7	6b27	e6aca7	6b27	00006b27
2937	4538	c5b8	c5b8	*	*	*	c5b8	c5b8	c5b8	9e25	e9b8a5	9e25	00009e25
2938	4539	c5b9	c5b9	*	*	*	c5b9	c5b9	c5b9	6bb4	e6aeb4	6bb4	00006bb4
2939	453a	c5ba	c5ba	453a	c5ba	c5ba	c5ba	c5ba	c5ba	85d5	e89795	85d5	000085d5
2940	453b	c5bb	c5bb	*	*	*	c5bb	c5bb	c5bb	5455	e59195	5455	00005455
2941	453c	c5bc	c5bc	453c	c5bc	c5bc	c5bc	c5bc	c5bc	5076	e581b6	5076	00005076
2942	453d	c5bd	c5bd	*	*	*	c5bd	c5bd	c5bd	6ca4	e6b2a4	6ca4	00006ca4
2943	453e	c5be	c5be	453e	c5be	c5be	c5be	c5be	c5be	556a	e595aa	556a	0000556a
2944	453f	c5bf	c5bf	453f	c5bf	c5bf	c5bf	c5bf	c5bf	8db4	e8b6b4	8db4	00008db4
2945	4540	c5c0	c5c0	4540	c5c0	c5c0	c5c0	c5c0	c5c0	722c	e788ac	722c	0000722c
2946	4541	c5c1	c5c1	4541	c5c1	c5c1	c5c1	c5c1	c5c1	5e15	e5b895	5e15	00005e15
2947	4542	c5c2	c5c2	4542	c5c2	c5c2	c5c2	c5c2	c5c2	6015	e68095	6015	00006015
2948	4543	c5c3	c5c3	4543	c5c3	c5c3	c5c3	c5c3	c5c3	7436	e790b6	7436	00007436
2949	4544	c5c4	c5c4	4544	c5c4	c5c4	c5c4	c5c4	c5c4	62cd	e68b8d	62cd	000062cd
2950	4545	c5c5	c5c5	4545	c5c5	c5c5	c5c5	c5c5	c5c5	6392	e68e92	6392	00006392
2951	4546	c5c6	c5c6	4546	c5c6	c5c6	c5c6	c5c6	c5c6	724c	e7898c	724c	0000724c
2952	4547	c5c7	c5c7	4547	c5c7	c5c7	c5c7	c5c7	c5c7	5f98	e5be98	5f98	00005f98
2953	4548	c5c8	c5c8	4548	c5c8	c5c8	c5c8	c5c8	c5c8	6e43	e6b983	6e43	00006e43
2954	4549	c5c9	c5c9	4549	c5c9	c5c9	c5c9	c5c9	c5c9	6d3e	e6b4be	6d3e	00006d3e
2955	454a	c5ca	c5ca	454a	c5ca	c5ca	c5ca	c5ca	c5ca	6500	e69480	6500	00006500
2956	454b	c5cb	c5cb	454b	c5cb	c5cb	c5cb	c5cb	c5cb	6f58	e6bd98	6f58	00006f58
2957	454c	c5cc	c5cc	*	*	*	c5cc	c5cc	c5cc	76d8	e79b98	76d8	000076d8
2958	454d	c5cd	c5cd	454d	c5cd	c5cd	c5cd	c5cd	c5cd	78d0	e7a390	78d0	000078d0
2959	454e	c5ce	c5ce	454e	c5ce	c5ce	c5ce	c5ce	c5ce	76fc	e79bbc	76fc	000076fc
2960	454f	c5cf	c5cf	454f	c5cf	c5cf	c5cf	c5cf	c5cf	7554	e79594	7554	00007554
2961	4550	c5d0	c5d0	4550	c5d0	c5d0	c5d0	c5d0	c5d0	5224	e588a4	5224	00005224
2962	4551	c5d1	c5d1	4551	c5d1	c5d1	c5d1	c5d1	c5d1	53db	e58f9b	53db	000053db
2963	4552	c5d2	c5d2	4552	c5d2	c5d2	c5d2	c5d2	c5d2	4e53	e4b993	4e53	00004e53
2964	4553	c5d3	c5d3	*	*	*	c5d3	c5d3	c5d3	5e9e	e5ba9e	5e9e	00005e9e
2965	4554	c5d4	c5d4	4554	c5d4	c5d4	c5d4	c5d4	c5d4	65c1	e69781	65c1	000065c1
2966	4555	c5d5	c5d5	4555	c5d5	c5d5	c5d5	c5d5	c5d5	802a	e880aa	802a	0000802a
2967	4556	c5d6	c5d6	4556	c5d6	c5d6	c5d6	c5d6	c5d6	80d6	e88396	80d6	000080d6
2968	4557	c5d7	c5d7	4557	c5d7	c5d7	c5d7	c5d7	c5d7	629b	e68a9b	629b	0000629b
2969	4558	c5d8	c5d8	4558	c5d8	c5d8	c5d8	c5d8	c5d8	5486	e59286	5486	00005486
2970	4559	c5d9	c5d9	4559	c5d9	c5d9	c5d9	c5d9	c5d9	5228	e588a8	5228	00005228
2971	455a	c5da	c5da	455a	c5da	c5da	c5da	c5da	c5da	70ae	e782ae	70ae	000070ae
2972	455b	c5db	c5db	455b	c5db	c5db	c5db	c5db	c5db	888d	e8a28d	888d	0000888d
2973	455c	c5dc	c5dc	455c	c5dc	c5dc	c5dc	c5dc	c5dc	8dd1	e8b791	8dd1	00008dd1
2974	455d	c5dd	c5dd	455d	c5dd	c5dd	c5dd	c5dd	c5dd	6ce1	e6b3a1	6ce1	00006ce1
2975	455e	c5de	c5de	455e	c5de	c5de	c5de	c5de	c5de	5478	e591b8	5478	00005478
2976	455f	c5df	c5df	455f	c5df	c5df	c5df	c5df	c5df	80da	e8839a	80da	000080da
2977	4560	c5e0	c5e0	4560	c5e0	c5e0	c5e0	c5e0	c5e0	57f9	e59fb9	57f9	000057f9
2978	4561	c5e1	c5e1	4561	c5e1	c5e1	c5e1	c5e1	c5e1	88f4	e8a3b4	88f4	000088f4
2979	4562	c5e2	c5e2	*	*	*	c5e2	c5e2	c5e2	8d54	e8b594	8d54	00008d54
2980	4563	c5e3	c5e3	4563	c5e3	c5e3	c5e3	c5e3	c5e3	966a	e999aa	966a	0000966a
2981	4564	c5e4	c5e4	4564	c5e4	c5e4	c5e4	c5e4	c5e4	914d	e9858d	914d	0000914d
2982	4565	c5e5	c5e5	4565	c5e5	c5e5	c5e5	c5e5	c5e5	4f69	e4bda9	4f69	00004f69
2983	4566	c5e6	c5e6	4566	c5e6	c5e6	c5e6	c5e6	c5e6	6c9b	e6b29b	6c9b	00006c9b
2984	4567	c5e7	c5e7	*	*	*	c5e7	c5e7	c5e7	55b7	e596b7	55b7	000055b7
2985	4568	c5e8	c5e8	4568	c5e8	c5e8	c5e8	c5e8	c5e8	76c6	e79b86	76c6	000076c6
2986	4569	c5e9	c5e9	4569	c5e9	c5e9	c5e9	c5e9	c5e9	7830	e7a0b0	7830	00007830
2987	456a	c5ea	c5ea	456a	c5ea	c5ea	c5ea	c5ea	c5ea	62a8	e68aa8	62a8	000062a8
2988	456b	c5eb	c5eb	456b	c5eb	c5eb	c5eb	c5eb	c5eb	70f9	e783b9	70f9	000070f9
2989	456c	c5ec	c5ec	456c	c5ec	c5ec	c5ec	c5ec	c5ec	6f8e	e6be8e	6f8e	00006f8e
2990	456d	c5ed	c5ed	456d	c5ed	c5ed	c5ed	c5ed	c5ed	5f6d	e5bdad	5f6d	00005f6d
2991	456e	c5ee	c5ee	456e	c5ee	c5ee	c5ee	c5ee	c5ee	84ec	e893ac	84ec	000084ec
2992	456f	c5ef	c5ef	456f	c5ef	c5ef	c5ef	c5ef	c5ef	68da	e6a39a	68da	000068da
2993	4570	c5f0	c5f0	4570	c5f0	c5f0	c5f0	c5f0	c5f0	787c	e7a1bc	787c	0000787c
2994	4571	c5f1	c5f1	4571	c5f1	c5f1	c5f1	c5f1	c5f1	7bf7	e7afb7	7bf7	00007bf7
2995	4572	c5f2	c5f2	4572	c5f2	c5f2	c5f2	c5f2	c5f2	81a8	e886a8	81a8	000081a8
2996	4573	c5f3	c5f3	4573	c5f3	c5f3	c5f3	c5f3	c5f3	670b	e69c8b	670b	0000670b
2997	4574	c5f4	c5f4	*	*	*	c5f4	c5f4	c5f4	9e4f	e9b98f	9e4f	00009e4f
2998	4575	c5f5	c5f5	4575	c5f5	c5f5	c5f5	c5f5	c5f5	6367	e68da7	6367	00006367
2999	4576	c5f6	c5f6	4576	c5f6	c5f6	c5f6	c5f6	c5f6	78b0	e7a2b0	78b0	000078b0
3000	4577	c5f7	c5f7	4577	c5f7	c5f7	c5f7	c5f7	c5f7	576f	e59daf	576f	0000576f
3001	4578	c5f8	c5f8	4578	c5f8	c5f8	c5f8	c5f8	c5f8	7812	e7a092	7812	00007812
3002	4579	c5f9	c5f9	4579	c5f9	c5f9	c5f9	c5f9	c5f9	9739	e99cb9	9739	00009739
3003	457a	c5fa	c5fa	457a	c5fa	c5fa	c5fa	c5fa	c5fa	6279	e689b9	6279	00006279
3004	457b	c5fb	c5fb	457b	c5fb	c5fb	c5fb	c5fb	c5fb	62ab	e68aab	62ab	000062ab
3005	457c	c5fc	c5fc	457c	c5fc	c5fc	c5fc	c5fc	c5fc	5288	e58a88	5288	00005288
3006	457d	c5fd	c5fd	457d	c5fd	c5fd	c5fd	c5fd	c5fd	7435	e790b5	7435	00007435
3007	457e	c5fe	c5fe	457e	c5fe	c5fe	c5fe	c5fe	c5fe	6bd7	e6af97	6bd7	00006bd7
3008	4621	c6a1	c6a1	4621	c6a1	c6a1	c6a1	c6a1	c6a1	5564	e595a4	5564	00005564
3009	4622	c6a2	c6a2	4622	c6a2	c6a2	c6a2	c6a2	c6a2	813e	e884be	813e	0000813e
3010	4623	c6a3	c6a3	4623	c6a3	c6a3	c6a3	c6a3	c6a3	75b2	e796b2	75b2	000075b2
3011	4624	c6a4	c6a4	4624	c6a4	c6a4	c6a4	c6a4	81399538,c6a4	2f6a,76ae	e2bdaa,e79aae	2f6a,76ae	00002f6a,000076ae
3012	4625	c6a5	c6a5	4625	c6a5	c6a5	c6a5	c6a5	c6a5	5339	e58cb9	5339	00005339
3013	4626	c6a6	c6a6	4626	c6a6	c6a6	c6a6	c6a6	c6a6	75de	e7979e	75de	000075de
3014	4627	c6a7	c6a7	4627	c6a7	c6a7	c6a7	c6a7	c6a7	50fb	e583bb	50fb	000050fb
3015	4628	c6a8	c6a8	4628	c6a8	c6a8	c6a8	c6a8	c6a8	5c41	e5b181	5c41	00005c41
3016	4629	c6a9	c6a9	4629	c6a9	c6a9	c6a9	c6a9	c6a9	8b6c	e8adac	8b6c	00008b6c
3017	462a	c6aa	c6aa	462a	c6aa	c6aa	c6aa	c6aa	c6aa	7bc7	e7af87	7bc7	00007bc7
3018	462b	c6ab	c6ab	462b	c6ab	c6ab	c6ab	c6ab	c6ab	504f	e5818f	504f	0000504f
3019	462c	c6ac	c6ac	462c	c6ac	c6ac	c6ac	c6ac	81399432,c6ac	2f5a,7247	e2bd9a,e78987	2f5a,7247	00002f5a,00007247
3020	462d	c6ad	c6ad	*	*	*	c6ad	c6ad	c6ad	9a97	e9aa97	9a97	00009a97
3021	462e	c6ae	c6ae	*	*	*	c6ae	c6ae	c6ae	98d8	e9a398	98d8	000098d8
3022	462f	c6af	c6af	462f	c6af	c6af	c6af	c6af	c6af	6f02	e6bc82	6f02	00006f02
3023	4630	c6b0	c6b0	4630	c6b0	c6b0	c6b0	c6b0	c6b0	74e2	e793a2	74e2	000074e2
3024	4631	c6b1	c6b1	4631	c6b1	c6b1	c6b1	c6b1	c6b1	7968	e7a5a8	7968	00007968
3025	4632	c6b2	c6b2	4632	c6b2	c6b2	c6b2	c6b2	c6b2	6487	e69287	6487	00006487
3026	4633	c6b3	c6b3	4633	c6b3	c6b3	c6b3	c6b3	c6b3	77a5	e79ea5	77a5	000077a5
3027	4634	c6b4	c6b4	4634	c6b4	c6b4	c6b4	c6b4	c6b4	62fc	e68bbc	62fc	000062fc
3028	4635	c6b5	c6b5	*	*	*	c6b5	c6b5	c6b5	9891	e9a291	9891	00009891
3029	4636	c6b6	c6b6	*	*	*	c6b6	c6b6	c6b6	8d2b	e8b4ab	8d2b	00008d2b
3030	4637	c6b7	c6b7	4637	c6b7	c6b7	c6b7	c6b7	c6b7	54c1	e59381	54c1	000054c1
3031	4638	c6b8	c6b8	4638	c6b8	c6b8	c6b8	c6b8	c6b8	8058	e88198	8058	00008058
3032	4639	c6b9	c6b9	4639	c6b9	c6b9	c6b9	c6b9	c6b9	4e52	e4b992	4e52	00004e52
3033	463a	c6ba	c6ba	463a	c6ba	c6ba	c6ba	c6ba	c6ba	576a	e59daa	576a	0000576a
3034	463b	c6bb	c6bb	785c	f8dc	f8dc	c6bb	c6bb	c6bb	82f9	e88bb9	82f9	000082f9
3035	463c	c6bc	c6bc	463c	c6bc	c6bc	c6bc	c6bc	c6bc	840d	e8908d	840d	0000840d
3036	463d	c6bd	c6bd	463d	c6bd	c6bd	c6bd	c6bd	c6bd	5e73	e5b9b3	5e73	00005e73
3037	463e	c6be	c6be	785d	f8dd	f8dd	c6be	c6be	c6be	51ed	e587ad	51ed	000051ed
3038	463f	c6bf	c6bf	463f	c6bf	c6bf	c6bf	c6bf	c6bf	74f6	e793b6	74f6	000074f6
3039	4640	c6c0	c6c0	*	*	*	c6c0	c6c0	c6c0	8bc4	e8af84	8bc4	00008bc4
3040	4641	c6c1	c6c1	4641	c6c1	c6c1	c6c1	c6c1	c6c1	5c4f	e5b18f	5c4f	00005c4f
3041	4642	c6c2	c6c2	4642	c6c2	c6c2	c6c2	c6c2	c6c2	5761	e59da1	5761	00005761
3042	4643	c6c3	c6c3	*	*	*	c6c3	c6c3	c6c3	6cfc	e6b3bc	6cfc	00006cfc
3043	4644	c6c4	c6c4	*	*	*	c6c4	c6c4	c6c4	9887	e9a287	9887	00009887
3044	4645	c6c5	c6c5	4645	c6c5	c6c5	c6c5	c6c5	c6c5	5a46	e5a986	5a46	00005a46
3045	4646	c6c6	c6c6	4646	c6c6	c6c6	c6c6	c6c6	c6c6	7834	e7a0b4	7834	00007834
3046	4647	c6c7	c6c7	4647	c6c7	c6c7	c6c7	c6c7	c6c7	9b44	e9ad84	9b44	00009b44
3047	4648	c6c8	c6c8	4648	c6c8	c6c8	c6c8	c6c8	c6c8	8feb	e8bfab	8feb	00008feb
3048	4649	c6c9	c6c9	4649	c6c9	c6c9	c6c9	c6c9	c6c9	7c95	e7b295	7c95	00007c95
3049	464a	c6ca	c6ca	464a	c6ca	c6ca	c6ca	c6ca	c6ca	5256	e58996	5256	00005256
3050	464b	c6cb	c6cb	785e	f8de	f8de	c6cb	c6cb	c6cb	6251	e68991	6251	00006251
3051	464c	c6cc	c6cc	*	*	*	c6cc	c6cc	c6cc	94fa	e993ba	94fa	000094fa
3052	464d	c6cd	c6cd	785f	f8df	f8df	c6cd	c6cd	c6cd	4ec6	e4bb86	4ec6	00004ec6
3053	464e	c6ce	c6ce	464e	c6ce	c6ce	c6ce	c6ce	c6ce	8386	e88e86	8386	00008386
3054	464f	c6cf	c6cf	464f	c6cf	c6cf	c6cf	c6cf	c6cf	8461	e891a1	8461	00008461
3055	4650	c6d0	c6d0	4650	c6d0	c6d0	c6d0	c6d0	c6d0	83e9	e88fa9	83e9	000083e9
3056	4651	c6d1	c6d1	4651	c6d1	c6d1	c6d1	c6d1	c6d1	84b2	e892b2	84b2	000084b2
3057	4652	c6d2	c6d2	4652	c6d2	c6d2	c6d2	c6d2	c6d2	57d4	e59f94	57d4	000057d4
3058	4653	c6d3	c6d3	7860	f8e0	f8e0	c6d3	c6d3	c6d3	6734	e69cb4	6734	00006734
3059	4654	c6d4	c6d4	4654	c6d4	c6d4	c6d4	c6d4	c6d4	5703	e59c83	5703	00005703
3060	4655	c6d5	c6d5	4655	c6d5	c6d5	c6d5	c6d5	c6d5	666e	e699ae	666e	0000666e
3061	4656	c6d6	c6d6	4656	c6d6	c6d6	c6d6	c6d6	c6d6	6d66	e6b5a6	6d66	00006d66
3062	4657	c6d7	c6d7	*	*	*	c6d7	c6d7	c6d7	8c31	e8b0b1	8c31	00008c31
3063	4658	c6d8	c6d8	4658	c6d8	c6d8	c6d8	c6d8	c6d8	66dd	e69b9d	66dd	000066dd
3064	4659	c6d9	c6d9	4659	c6d9	c6d9	c6d9	c6d9	c6d9	7011	e78091	7011	00007011
3065	465a	c6da	c6da	465a	c6da	c6da	c6da	c6da	c6da	671f	e69c9f	671f	0000671f
3066	465b	c6db	c6db	465b	c6db	c6db	c6db	c6db	c6db	6b3a	e6acba	6b3a	00006b3a
3067	465c	c6dc	c6dc	465c	c6dc	c6dc	c6dc	c6dc	c6dc	6816	e6a096	6816	00006816
3068	465d	c6dd	c6dd	465d	c6dd	c6dd	c6dd	c6dd	c6dd	621a	e6889a	621a	0000621a
3069	465e	c6de	c6de	465e	c6de	c6de	c6de	c6de	c6de	59bb	e5a6bb	59bb	000059bb
3070	465f	c6df	c6df	465f	c6df	c6df	c6df	c6df	c6df	4e03	e4b883	4e03	00004e03
3071	4660	c6e0	c6e0	4660	c6e0	c6e0	c6e0	c6e0	c6e0	51c4	e58784	51c4	000051c4
3072	4661	c6e1	c6e1	4661	c6e1	c6e1	c6e1	c6e1	c6e1	6f06	e6bc86	6f06	00006f06
3073	4662	c6e2	c6e2	4662	c6e2	c6e2	c6e2	c6e2	c6e2	67d2	e69f92	67d2	000067d2
3074	4663	c6e3	c6e3	4663	c6e3	c6e3	c6e3	c6e3	c6e3	6c8f	e6b28f	6c8f	00006c8f
3075	4664	c6e4	c6e4	4664	c6e4	c6e4	c6e4	c6e4	c6e4	5176	e585b6	5176	00005176
