# cid2code.txt (Version 08/23/2009)
#
# The data in this table contains nineteen tab-delimited columns of
# information. The contents of this file supplement Technical Note 
# #5080 "Adobe-CNS1-6 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 19155 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 19, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "B5-H" and "B5-V" CMaps (Big
#   Five character set, Big Five encoding, half-width Latin
#   characters).
#
# o Column 3: Character codes for the "B5pc-H" and "B5pc-V" CMaps
#   (MacOS-T character set, Big Five encoding, proportional Latin
#   characters).
#
# o Column 4: Character codes for the "ETen-B5-H" and "ETen-B5-V"
#   CMaps (Big Five character set with ETen extensions, Big Five
#   encoding, half-width Latin characters).
#
# o Column 5: Character codes for the "ETenms-B5-H" and
#   "ETenms-B5-V" CMaps (Big Five character set with ETen extensions,
#   Big Five encoding, proportional Latin characters).
#
# o Column 6: Character codes for the "CNS1-H" and "CNS1-V" CMaps
#   (CNS 11643-1992 character set, Plane 1, ISO-2022-CN encoding).
#
# o Column 7: Character codes for the "CNS2-H" and "CNS2-V" CMaps
#   (CNS 11643-1992 character set, Plane 2, ISO-2022-CN encoding).
#
# o Column 8: Character codes for the "CNS-EUC-H" and "CNS-EUC-V"
#   CMaps (CNS 11643-1992 character set, Planes 1 and 2, EUC-TW
#   encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "UniCNS-UCS2-H" and
#   "UniCNS-UCS2-V" CMaps (Unicode UCS-2 encoding, proportional
#   Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 10: Character codes for the "UniCNS-UTF8-H" and
#   "UniCNS-UTF8-V" CMaps (Unicode 5.2 UTF-8 encoding, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniCNS-UTF16-H" and
#   "UniCNS-UTF16-V" CMaps (Unicode 5.2 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 12: Character codes for the "UniCNS-UTF32-H" and
#   "UniCNS-UTF32-V" CMaps (Unicode 5.2 UTF-32 encoding, proportional
#   Latin characters).
#
# o Column 13: Character codes for the "ETHK-B5-H" and "ETHK-B5-V"
#   CMaps (Big Five character set with the ETen and Hong Kong SCS
#   extensions, Big Five encoding, proportional Latin characters).
#
# o Column 14: Character codes for the "HKdla-B5-H" and "HKdla-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   A with 784 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 15: Character codes for the "HKdlb-B5-H" and "HKdlb-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   B with 665 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 16: Character codes for the "HKgccs-B5-H" and "HKgccs-B5-V"
#   CMaps (Big Five character set with Hong Kong's GCCS extension, Big
#   Five encoding, proportional Latin characters).
#
# o Column 17: Character codes for the "HKm314-B5-H" and "HKm314-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 314 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 18: Character codes for the "HKm471-B5-H" and "HKm471-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 471 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 19: Character codes for the "HKscs-B5-H" and "HKscs-B5-V"
#   CMaps (Big Five character set with Hong Kong's SCS extension,
#   Big Five encoding, proportional Latin characters).
#
CID	B5	B5pc	ETen-B5	ETenms-B5	CNS1	CNS2	CNS-EUC	UniCNS-UCS2	UniCNS-UTF8	UniCNS-UTF16	UniCNS-UTF32	ETHK-B5	HKdla-B5	HKdlb-B5	HKgccs-B5	HKm314-B5	HKm471-B5	HKscs-B5
758	a546	a546	a546	*	4566	*	8ea1c5e6,c5e6,8ea1c5e6v,c5e6v	4e4f	e4b98f	4e4f	00004e4f	a546	a546	a546	a546	a546	a546	a546
759	a547	a547	a547	*	4567	*	8ea1c5e7,c5e7,8ea1c5e7v,c5e7v	4e4e	e4b98e	4e4e	00004e4e	a547	a547	a547	a547	a547	a547	a547
760	a548	a548	a548	*	4568	*	8ea1c5e8,c5e8,8ea1c5e8v,c5e8v	4ee5	e4bba5	4ee5	00004ee5	a548	a548	a548	a548	a548	a548	a548
761	a549	a549	a549	*	4569	*	8ea1c5e9,c5e9,8ea1c5e9v,c5e9v	4ed8	e4bb98	4ed8	00004ed8	a549	a549	a549	a549	a549	a549	a549
762	a54a	a54a	a54a	*	456a	*	8ea1c5ea,c5ea,8ea1c5eav,c5eav	4ed4	e4bb94	4ed4	00004ed4	a54a	a54a	a54a	a54a	a54a	a54a	a54a
763	a54b	a54b	a54b	*	456b	*	8ea1c5eb,c5eb,8ea1c5ebv,c5ebv	4ed5	e4bb95	4ed5	00004ed5	a54b	a54b	a54b	a54b	a54b	a54b	a54b
764	a54c	a54c	a54c	*	456c	*	8ea1c5ec,c5ec,8ea1c5ecv,c5ecv	4ed6	e4bb96	4ed6	00004ed6	a54c	a54c	a54c	a54c	a54c	a54c	a54c
765	a54d	a54d	a54d	*	456d	*	8ea1c5ed,c5ed,8ea1c5edv,c5edv	4ed7	e4bb97	4ed7	00004ed7	a54d	a54d	a54d	a54d	a54d	a54d	a54d
766	a54e	a54e	a54e	*	456e	*	8ea1c5ee,c5ee,8ea1c5eev,c5eev	4ee3	e4bba3	4ee3	00004ee3	a54e	a54e	a54e	a54e	a54e	a54e	a54e
767	a54f	a54f	a54f	*	456f	*	8ea1c5ef,c5ef,8ea1c5efv,c5efv	4ee4	e4bba4	4ee4	00004ee4	a54f	a54f	a54f	a54f	a54f	a54f	a54f
768	a550	a550	a550	*	4570	*	8ea1c5f0,c5f0,8ea1c5f0v,c5f0v	4ed9	e4bb99	4ed9	00004ed9	a550	a550	a550	a550	a550	a550	a550
769	a551	a551	a551	*	4571	*	8ea1c5f1,c5f1,8ea1c5f1v,c5f1v	4ede	e4bb9e	4ede	00004ede	a551	a551	a551	a551	a551	a551	a551
770	a552	a552	a552	*	4572	*	8ea1c5f2,c5f2,8ea1c5f2v,c5f2v	5145	e58585	5145	00005145	a552	a552	a552	a552	a552	a552	a552
771	a553	a553	a553	*	4573	*	8ea1c5f3,c5f3,8ea1c5f3v,c5f3v	5144	e58584	5144	00005144	a553	a553	a553	a553	a553	a553	a553
772	a554	a554	a554	*	4574	*	8ea1c5f4,c5f4,8ea1c5f4v,c5f4v	5189	e58689	5189	00005189	a554	a554	a554	a554	a554	a554	a554
773	a555	a555	a555	*	4575	*	8ea1c5f5,c5f5,8ea1c5f5v,c5f5v	518a	e5868a	518a	0000518a	a555	a555	a555	a555	a555	a555	a555
774	a556	a556	a556	*	4576	*	8ea1c5f6,c5f6,8ea1c5f6v,c5f6v	51ac	e586ac	51ac	000051ac	a556	a556	a556	a556	a556	a556	a556
775	a557	a557	a557	*	4577	*	8ea1c5f7,c5f7,8ea1c5f7v,c5f7v	51f9	e587b9	51f9	000051f9	a557	a557	a557	a557	a557	a557	a557
776	a558	a558	a558	*	4578	*	8ea1c5f8,c5f8,8ea1c5f8v,c5f8v	51fa	e587ba	51fa	000051fa	a558	a558	a558	a558	a558	a558	a558
777	a559	a559	a559	*	4579	*	8ea1c5f9,c5f9,8ea1c5f9v,c5f9v	51f8	e587b8	51f8	000051f8	a559	a559	a559	a559	a559	a559	a559
778	a55a	a55a	a55a	*	457a	*	8ea1c5fa,c5fa,8ea1c5fav,c5fav	520a	e5888a	520a	0000520a	a55a	a55a	a55a	a55a	a55a	a55a	a55a
779	a55b	a55b	a55b	*	457b	*	8ea1c5fb,c5fb,8ea1c5fbv,c5fbv	52a0	e58aa0	52a0	000052a0	a55b	a55b	a55b	a55b	a55b	a55b	a55b
780	a55c	a55c	a55c	*	457c	*	8ea1c5fc,c5fc,8ea1c5fcv,c5fcv	529f	e58a9f	529f	0000529f	a55c	a55c	a55c	a55c	a55c	a55c	a55c
781	a55d	a55d	a55d	*	457d	*	8ea1c5fd,c5fd,8ea1c5fdv,c5fdv	5305	ee819b,e58c85	e05b,5305	0000e05b,00005305	fabd,a55d	a55d	a55d	a55d	a55d	a55d	fabd,a55d
782	a55e	a55e	a55e	*	457e	*	8ea1c5fe,c5fe,8ea1c5fev,c5fev	5306	e58c86	5306	00005306	a55e	a55e	a55e	a55e	a55e	a55e	a55e
783	a55f	a55f	a55f	*	4621	*	8ea1c6a1,c6a1,8ea1c6a1v,c6a1v	5317	e58c97	5317	00005317	a55f	a55f	a55f	a55f	a55f	a55f	a55f
784	a560	a560	a560	*	4622	*	8ea1c6a2,c6a2,8ea1c6a2v,c6a2v	531d	e58c9d	531d	0000531d	a560	a560	a560	a560	a560	a560	a560
785	a561	a561	a561	*	4623	*	8ea1c6a3,c6a3,8ea1c6a3v,c6a3v	4edf	e4bb9f	4edf	00004edf	a561	a561	a561	a561	a561	a561	a561
786	a562	a562	a562	*	4624	*	8ea1c6a4,c6a4,8ea1c6a4v,c6a4v	534a	e58d8a	534a	0000534a	a562	a562	a562	a562	a562	a562	a562
787	a563	a563	a563	*	4625	*	8ea1c6a5,c6a5,8ea1c6a5v,c6a5v	5349	e58d89	5349	00005349	a563	a563	a563	a563	a563	a563	a563
788	a564	a564	a564	*	4626	*	8ea1c6a6,c6a6,8ea1c6a6v,c6a6v	5361	e58da1	5361	00005361	a564	a564	a564	a564	a564	a564	a564
789	a565	a565	a565	*	4627	*	8ea1c6a7,c6a7,8ea1c6a7v,c6a7v	5360	e58da0	5360	00005360	a565	a565	a565	a565	a565	a565	a565
790	a566	a566	a566	*	4628	*	8ea1c6a8,c6a8,8ea1c6a8v,c6a8v	536f	e58daf	536f	0000536f	a566	a566	a566	a566	a566	a566	a566
791	a567	a567	a567	*	4629	*	8ea1c6a9,c6a9,8ea1c6a9v,c6a9v	536e	e58dae	536e	0000536e	a567	a567	a567	a567	a567	a567	a567
792	a568	a568	a568	*	462a	*	8ea1c6aa,c6aa,8ea1c6aav,c6aav	53bb	e58ebb	53bb	000053bb	a568	a568	a568	a568	a568	a568	a568
793	a569	a569	a569	*	462b	*	8ea1c6ab,c6ab,8ea1c6abv,c6abv	53ef	e58faf	53ef	000053ef	a569	a569	a569	a569	a569	a569	a569
794	a56a	a56a	a56a	*	462c	*	8ea1c6ac,c6ac,8ea1c6acv,c6acv	53e4	e58fa4	53e4	000053e4	a56a	a56a	a56a	a56a	a56a	a56a	a56a
795	a56b	a56b	a56b	*	462d	*	8ea1c6ad,c6ad,8ea1c6adv,c6adv	53f3	e58fb3	53f3	000053f3	a56b	a56b	a56b	a56b	a56b	a56b	a56b
796	a56c	a56c	a56c	*	462e	*	8ea1c6ae,c6ae,8ea1c6aev,c6aev	53ec	e58fac	53ec	000053ec	a56c	a56c	a56c	a56c	a56c	a56c	a56c
797	a56d	a56d	a56d	*	462f	*	8ea1c6af,c6af,8ea1c6afv,c6afv	53ee	e58fae	53ee	000053ee	a56d	a56d	a56d	a56d	a56d	a56d	a56d
798	a56e	a56e	a56e	*	4630	*	8ea1c6b0,c6b0,8ea1c6b0v,c6b0v	53e9	e58fa9	53e9	000053e9	a56e	a56e	a56e	a56e	a56e	a56e	a56e
799	a56f	a56f	a56f	*	4631	*	8ea1c6b1,c6b1,8ea1c6b1v,c6b1v	53e8	e58fa8	53e8	000053e8	a56f	a56f	a56f	a56f	a56f	a56f	a56f
800	a570	a570	a570	*	4632	*	8ea1c6b2,c6b2,8ea1c6b2v,c6b2v	53fc	e58fbc	53fc	000053fc	a570	a570	a570	a570	a570	a570	a570
801	a571	a571	a571	*	4633	*	8ea1c6b3,c6b3,8ea1c6b3v,c6b3v	53f8	e58fb8	53f8	000053f8	a571	a571	a571	a571	a571	a571	a571
802	a572	a572	a572	*	4634	*	8ea1c6b4,c6b4,8ea1c6b4v,c6b4v	53f5	e58fb5	53f5	000053f5	a572	a572	a572	a572	a572	a572	a572
803	a573	a573	a573	*	4635	*	8ea1c6b5,c6b5,8ea1c6b5v,c6b5v	53eb	e58fab	53eb	000053eb	a573	a573	a573	a573	a573	a573	a573
804	a574	a574	a574	*	4636	*	8ea1c6b6,c6b6,8ea1c6b6v,c6b6v	53e6	e58fa6	53e6	000053e6	a574	a574	a574	a574	a574	a574	a574
805	a575	a575	a575	*	4637	*	8ea1c6b7,c6b7,8ea1c6b7v,c6b7v	53ea	e58faa	53ea	000053ea	a575	a575	a575	a575	a575	a575	a575
806	a576	a576	a576	*	4638	*	8ea1c6b8,c6b8,8ea1c6b8v,c6b8v	53f2	e58fb2	53f2	000053f2	a576	a576	a576	a576	a576	a576	a576
807	a577	a577	a577	*	4639	*	8ea1c6b9,c6b9,8ea1c6b9v,c6b9v	53f1	e58fb1	53f1	000053f1	a577	a577	a577	a577	a577	a577	a577
808	a578	a578	a578	*	463a	*	8ea1c6ba,c6ba,8ea1c6bav,c6bav	53f0	e58fb0	53f0	000053f0	a578	a578	a578	a578	a578	a578	a578
809	a579	a579	a579	*	463b	*	8ea1c6bb,c6bb,8ea1c6bbv,c6bbv	53e5	e58fa5	53e5	000053e5	a579	a579	a579	a579	a579	a579	a579
810	a57a	a57a	a57a	*	463c	*	8ea1c6bc,c6bc,8ea1c6bcv,c6bcv	53ed	e58fad	53ed	000053ed	a57a	a57a	a57a	a57a	a57a	a57a	a57a
811	a57b	a57b	a57b	*	463d	*	8ea1c6bd,c6bd,8ea1c6bdv,c6bdv	53fb	e58fbb	53fb	000053fb	a57b	a57b	a57b	a57b	a57b	a57b	a57b
812	a57c	a57c	a57c	*	463e	*	8ea1c6be,c6be,8ea1c6bev,c6bev	56db	e59b9b	56db	000056db	a57c	a57c	a57c	a57c	a57c	a57c	a57c
813	a57d	a57d	a57d	*	463f	*	8ea1c6bf,c6bf,8ea1c6bfv,c6bfv	56da	e59b9a	56da	000056da	a57d	a57d	a57d	a57d	a57d	a57d	a57d
814	a57e	a57e	a57e	*	4640	*	8ea1c6c0,c6c0,8ea1c6c0v,c6c0v	5916	e5a496	5916	00005916	a57e	a57e	a57e	a57e	a57e	a57e	a57e
815	a5a1	a5a1	a5a1	*	4641	*	8ea1c6c1,c6c1,8ea1c6c1v,c6c1v	592e	e5a4ae	592e	0000592e	a5a1	a5a1	a5a1	a5a1	a5a1	a5a1	a5a1
816	a5a2	a5a2	a5a2	*	4642	*	8ea1c6c2,c6c2,8ea1c6c2v,c6c2v	5931	e5a4b1	5931	00005931	a5a2	a5a2	a5a2	a5a2	a5a2	a5a2	a5a2
817	a5a3	a5a3	a5a3	*	4643	*	8ea1c6c3,c6c3,8ea1c6c3v,c6c3v	5974	e5a5b4	5974	00005974	a5a3	a5a3	a5a3	a5a3	a5a3	a5a3	a5a3
818	a5a4	a5a4	a5a4	*	4644	*	8ea1c6c4,c6c4,8ea1c6c4v,c6c4v	5976	e5a5b6	5976	00005976	a5a4	a5a4	a5a4	a5a4	a5a4	a5a4	a5a4
819	a5a5	a5a5	a5a5	*	4645	*	8ea1c6c5,c6c5,8ea1c6c5v,c6c5v	5b55	e5ad95	5b55	00005b55	a5a5	a5a5	a5a5	a5a5	a5a5	a5a5	a5a5
820	a5a6	a5a6	a5a6	*	4646	*	8ea1c6c6,c6c6,8ea1c6c6v,c6c6v	5b83	e5ae83	5b83	00005b83	a5a6	a5a6	a5a6	a5a6	a5a6	a5a6	a5a6
821	a5a7	a5a7	a5a7	*	4647	*	8ea1c6c7,c6c7,8ea1c6c7v,c6c7v	5c3c	e5b0bc	5c3c	00005c3c	a5a7	a5a7	a5a7	a5a7	a5a7	a5a7	a5a7
822	a5a8	a5a8	a5a8	*	4648	*	8ea1c6c8,c6c8,8ea1c6c8v,c6c8v	5de8	e5b7a8	5de8	00005de8	a5a8	a5a8	a5a8	a5a8	a5a8	a5a8	a5a8
823	a5a9	a5a9	a5a9	*	4649	*	8ea1c6c9,c6c9,8ea1c6c9v,c6c9v	5de7	e5b7a7	5de7	00005de7	a5a9	a5a9	a5a9	a5a9	a5a9	a5a9	a5a9
824	a5aa	a5aa	a5aa	*	464a	*	8ea1c6ca,c6ca,8ea1c6cav,c6cav	5de6	e5b7a6	5de6	00005de6	a5aa	a5aa	a5aa	a5aa	a5aa	a5aa	a5aa
825	a5ab	a5ab	a5ab	*	464b	*	8ea1c6cb,c6cb,8ea1c6cbv,c6cbv	5e02	e5b882	5e02	00005e02	a5ab	a5ab	a5ab	a5ab	a5ab	a5ab	a5ab
826	a5ac	a5ac	a5ac	*	464c	*	8ea1c6cc,c6cc,8ea1c6ccv,c6ccv	5e03	e5b883	5e03	00005e03	a5ac	a5ac	a5ac	a5ac	a5ac	a5ac	a5ac
827	a5ad	a5ad	a5ad	*	464d	*	8ea1c6cd,c6cd,8ea1c6cdv,c6cdv	5e73	e5b9b3	5e73	00005e73	a5ad	a5ad	a5ad	a5ad	a5ad	a5ad	a5ad
828	a5ae	a5ae	a5ae	*	464e	*	8ea1c6ce,c6ce,8ea1c6cev,c6cev	5e7c	e5b9bc	5e7c	00005e7c	a5ae	a5ae	a5ae	a5ae	a5ae	a5ae	a5ae
829	a5af	a5af	a5af	*	464f	*	8ea1c6cf,c6cf,8ea1c6cfv,c6cfv	5f01	e5bc81	5f01	00005f01	a5af	a5af	a5af	a5af	a5af	a5af	a5af
830	a5b0	a5b0	a5b0	*	4650	*	8ea1c6d0,c6d0,8ea1c6d0v,c6d0v	5f18	e5bc98	5f18	00005f18	a5b0	a5b0	a5b0	a5b0	a5b0	a5b0	a5b0
831	a5b1	a5b1	a5b1	*	4651	*	8ea1c6d1,c6d1,8ea1c6d1v,c6d1v	5f17	e5bc97	5f17	00005f17	a5b1	a5b1	a5b1	a5b1	a5b1	a5b1	a5b1
832	a5b2	a5b2	a5b2	*	4652	*	8ea1c6d2,c6d2,8ea1c6d2v,c6d2v	5fc5	e5bf85	5fc5	00005fc5	a5b2	a5b2	a5b2	a5b2	a5b2	a5b2	a5b2
833	a5b3	a5b3	a5b3	*	4653	*	8ea1c6d3,c6d3,8ea1c6d3v,c6d3v	620a	e6888a	620a	0000620a	a5b3	a5b3	a5b3	a5b3	a5b3	a5b3	a5b3
834	a5b4	a5b4	a5b4	*	4654	*	8ea1c6d4,c6d4,8ea1c6d4v,c6d4v	6253	e68993	6253	00006253	a5b4	a5b4	a5b4	a5b4	a5b4	a5b4	a5b4
835	a5b5	a5b5	a5b5	*	4655	*	8ea1c6d5,c6d5,8ea1c6d5v,c6d5v	6254	e68994	6254	00006254	a5b5	a5b5	a5b5	a5b5	a5b5	a5b5	a5b5
836	a5b6	a5b6	a5b6	*	4656	*	8ea1c6d6,c6d6,8ea1c6d6v,c6d6v	6252	e68992	6252	00006252	a5b6	a5b6	a5b6	a5b6	a5b6	a5b6	a5b6
837	a5b7	a5b7	a5b7	*	4657	*	8ea1c6d7,c6d7,8ea1c6d7v,c6d7v	6251	e68991	6251	00006251	a5b7	a5b7	a5b7	a5b7	a5b7	a5b7	a5b7
838	a5b8	a5b8	a5b8	*	4658	*	8ea1c6d8,c6d8,8ea1c6d8v,c6d8v	65a5	e696a5	65a5	000065a5	a5b8	a5b8	a5b8	a5b8	a5b8	a5b8	a5b8
839	a5b9	a5b9	a5b9	*	4659	*	8ea1c6d9,c6d9,8ea1c6d9v,c6d9v	65e6	e697a6	65e6	000065e6	a5b9	a5b9	a5b9	a5b9	a5b9	a5b9	a5b9
840	a5ba	a5ba	a5ba	*	465a	*	8ea1c6da,c6da,8ea1c6dav,c6dav	672e	e69cae	672e	0000672e	a5ba	a5ba	a5ba	a5ba	a5ba	a5ba	a5ba
841	a5bb	a5bb	a5bb	*	465b	*	8ea1c6db,c6db,8ea1c6dbv,c6dbv	672c	e69cac	672c	0000672c	a5bb	a5bb	a5bb	a5bb	a5bb	a5bb	a5bb
842	a5bc	a5bc	a5bc	*	465c	*	8ea1c6dc,c6dc,8ea1c6dcv,c6dcv	672a	e69caa	672a	0000672a	a5bc	a5bc	a5bc	a5bc	a5bc	a5bc	a5bc
843	a5bd	a5bd	a5bd	*	465d	*	8ea1c6dd,c6dd,8ea1c6ddv,c6ddv	672b	e69cab	672b	0000672b	a5bd	a5bd	a5bd	a5bd	a5bd	a5bd	a5bd
844	a5be	a5be	a5be	*	465e	*	8ea1c6de,c6de,8ea1c6dev,c6dev	672d	e69cad	672d	0000672d	a5be	a5be	a5be	a5be	a5be	a5be	a5be
845	a5bf	a5bf	a5bf	*	465f	*	8ea1c6df,c6df,8ea1c6dfv,c6dfv	6b63	e6ada3	6b63	00006b63	a5bf	a5bf	a5bf	a5bf	a5bf	a5bf	a5bf
846	a5c0	a5c0	a5c0	*	4660	*	8ea1c6e0,c6e0,8ea1c6e0v,c6e0v	6bcd	e6af8d	6bcd	00006bcd	a5c0	a5c0	a5c0	a5c0	a5c0	a5c0	a5c0
847	a5c1	a5c1	a5c1	*	4661	*	8ea1c6e1,c6e1,8ea1c6e1v,c6e1v	6c11	e6b091	6c11	00006c11	a5c1	a5c1	a5c1	a5c1	a5c1	a5c1	a5c1
848	a5c2	a5c2	a5c2	*	4662	*	8ea1c6e2,c6e2,8ea1c6e2v,c6e2v	6c10	e6b090	6c10	00006c10	a5c2	a5c2	a5c2	a5c2	a5c2	a5c2	a5c2
849	a5c3	a5c3	a5c3	*	4663	*	8ea1c6e3,c6e3,8ea1c6e3v,c6e3v	6c38	e6b0b8	6c38	00006c38	a5c3	a5c3	a5c3	a5c3	a5c3	a5c3	a5c3
850	a5c4	a5c4	a5c4	*	4664	*	8ea1c6e4,c6e4,8ea1c6e4v,c6e4v	6c41	e6b181	6c41	00006c41	a5c4	a5c4	a5c4	a5c4	a5c4	a5c4	a5c4
851	a5c5	a5c5	a5c5	*	4665	*	8ea1c6e5,c6e5,8ea1c6e5v,c6e5v	6c40	e6b180	6c40	00006c40	a5c5	a5c5	a5c5	a5c5	a5c5	a5c5	a5c5
852	a5c6	a5c6	a5c6	*	4666	*	8ea1c6e6,c6e6,8ea1c6e6v,c6e6v	6c3e	e6b0be	6c3e	00006c3e	a5c6	a5c6	a5c6	a5c6	a5c6	a5c6	a5c6
853	a5c7	a5c7	a5c7	*	4667	*	8ea1c6e7,c6e7,8ea1c6e7v,c6e7v	72af	e78aaf	72af	000072af	a5c7	a5c7	a5c7	a5c7	a5c7	a5c7	a5c7
854	a5c8	a5c8	a5c8	*	277e,4668	*	8ea1a7fe,8ea1c6e8,a7fe,c6e8,8ea1a7fev,8ea1c6e8v,a7fev,c6e8v	7384	e78e84,e2bd9e	7384,2f5e	00007384,00002f5e	a5c8	a5c8	a5c8	a5c8	a5c8	a5c8	a5c8
855	a5c9	a5c9	a5c9	*	2821,4669	*	8ea1a8a1,8ea1c6e9,a8a1,c6e9,8ea1a8a1v,8ea1c6e9v,a8a1v,c6e9v	7389	e78e89,e2bd9f	7389,2f5f	00007389,00002f5f	a5c9	a5c9	a5c9	a5c9	a5c9	a5c9	a5c9
856	a5ca	a5ca	a5ca	*	2822,466a	*	8ea1a8a2,8ea1c6ea,a8a2,c6ea,8ea1a8a2v,8ea1c6eav,a8a2v,c6eav	74dc	e7939c,e2bda0	74dc,2f60	000074dc,00002f60	a5ca	a5ca	a5ca	a5ca	a5ca	a5ca	a5ca
857	a5cb	a5cb	a5cb	*	2823,466b	*	8ea1a8a3,8ea1c6eb,a8a3,c6eb,8ea1a8a3v,8ea1c6ebv,a8a3v,c6ebv	74e6	e793a6,e2bda1	74e6,2f61	000074e6,00002f61	a5cb	a5cb	a5cb	a5cb	a5cb	a5cb	a5cb
858	a5cc	a5cc	a5cc	*	2824,466c	*	8ea1a8a4,8ea1c6ec,a8a4,c6ec,8ea1a8a4v,8ea1c6ecv,a8a4v,c6ecv	7518	e79498,e2bda2	7518,2f62	00007518,00002f62	a5cc	a5cc	a5cc	a5cc	a5cc	a5cc	a5cc
859	a5cd	a5cd	a5cd	*	2825,466d	*	8ea1a8a5,8ea1c6ed,a8a5,c6ed,8ea1a8a5v,8ea1c6edv,a8a5v,c6edv	751f	e7949f,e2bda3	751f,2f63	0000751f,00002f63	a5cd	a5cd	a5cd	a5cd	a5cd	a5cd	a5cd
860	a5ce	a5ce	a5ce	*	2826,466e	*	8ea1a8a6,8ea1c6ee,a8a6,c6ee,8ea1a8a6v,8ea1c6eev,a8a6v,c6eev	7528	e2bda4,e794a8	2f64,7528	00002f64,00007528	a5ce	a5ce	a5ce	a5ce	a5ce	a5ce	a5ce
861	a5cf	a5cf	a5cf	*	466f	*	8ea1c6ef,c6ef,8ea1c6efv,c6efv	7529	e794a9	7529	00007529	a5cf	a5cf	a5cf	a5cf	a5cf	a5cf	a5cf
862	a5d0	a5d0	a5d0	*	2827,4670	*	8ea1a8a7,8ea1c6f0,a8a7,c6f0,8ea1a8a7v,8ea1c6f0v,a8a7v,c6f0v	7530	e2bda5,e794b0	2f65,7530	00002f65,00007530	a5d0	a5d0	a5d0	a5d0	a5d0	a5d0	a5d0
863	a5d1	a5d1	a5d1	*	4671	*	8ea1c6f1,c6f1,8ea1c6f1v,c6f1v	7531	e794b1	7531	00007531	a5d1	a5d1	a5d1	a5d1	a5d1	a5d1	a5d1
864	a5d2	a5d2	a5d2	*	4672	*	8ea1c6f2,c6f2,8ea1c6f2v,c6f2v	7532	e794b2	7532	00007532	a5d2	a5d2	a5d2	a5d2	a5d2	a5d2	a5d2
865	a5d3	a5d3	a5d3	*	4673	*	8ea1c6f3,c6f3,8ea1c6f3v,c6f3v	7533	e794b3	7533	00007533	a5d3	a5d3	a5d3	a5d3	a5d3	a5d3	a5d3
866	a5d4	a5d4	a5d4	*	2828,4674	*	8ea1a8a8,8ea1c6f4,a8a8,c6f4,8ea1a8a8v,8ea1c6f4v,a8a8v,c6f4v	758b	e2bda6,e7968b	2f66,758b	00002f66,0000758b	a5d4	a5d4	a5d4	a5d4	a5d4	a5d4	a5d4
867	a5d5	a5d5	a5d5	*	282b,4675	*	8ea1a8ab,8ea1c6f5,a8ab,c6f5,8ea1a8abv,8ea1c6f5v,a8abv,c6f5v	767d	e799bd,e2bda9	767d,2f69	0000767d,00002f69	a5d5	a5d5	a5d5	a5d5	a5d5	a5d5	a5d5
868	a5d6	a5d6	a5d6	*	282c,4676	*	8ea1a8ac,8ea1c6f6,a8ac,c6f6,8ea1a8acv,8ea1c6f6v,a8acv,c6f6v	76ae	e79aae,e2bdaa	76ae,2f6a	000076ae,00002f6a	a5d6	a5d6	a5d6	a5d6	a5d6	a5d6	a5d6
869	a5d7	a5d7	a5d7	*	282d,4677	*	8ea1a8ad,8ea1c6f7,a8ad,c6f7,8ea1a8adv,8ea1c6f7v,a8adv,c6f7v	76bf	e79abf,e2bdab	76bf,2f6b	000076bf,00002f6b	a5d7	a5d7	a5d7	a5d7	a5d7	a5d7	a5d7
